Filename,MPI_Processes,Trial_Iteration,Memory_MB,Backend_Processes,Total_Runtime_Sec
heatdis_veloc_p64_i0_m64_test.log,64,0,64,,36.305317
heatdis_veloc_p64_i1_m64_test.log,64,1,64,,36.345847
heatdis_veloc_p64_i2_m64_test.log,64,2,64,,36.387318
heatdis_veloc_p64_i3_m64_test.log,64,3,64,,36.286638
heatdis_veloc_p64_i4_m64_test.log,64,4,64,,36.284036
heatdis_veloc_p64_i5_m64_test.log,64,5,64,,36.375691
heatdis_veloc_p64_i6_m64_test.log,64,6,64,,36.30498
heatdis_veloc_p64_i7_m64_test.log,64,7,64,,36.268685
heatdis_veloc_p64_i8_m64_test.log,64,8,64,,36.327695
heatdis_veloc_p64_i9_m64_test.log,64,9,64,,36.300881
heatdis_veloc_p64_i0_m128_test.log,64,0,128,,72.12721
heatdis_veloc_p64_i1_m128_test.log,64,1,128,,71.988548
heatdis_veloc_p64_i2_m128_test.log,64,2,128,,72.209667
heatdis_veloc_p64_i3_m128_test.log,64,3,128,,72.087515
heatdis_veloc_p64_i4_m128_test.log,64,4,128,,72.149809
heatdis_veloc_p64_i5_m128_test.log,64,5,128,,72.190918
heatdis_veloc_p64_i6_m128_test.log,64,6,128,,72.110386
heatdis_veloc_p64_i7_m128_test.log,64,7,128,,72.150759
heatdis_veloc_p64_i8_m128_test.log,64,8,128,,72.27658
heatdis_veloc_p64_i9_m128_test.log,64,9,128,,71.982712
heatdis_veloc_p64_i0_m256_test.log,64,0,256,,143.014017
heatdis_veloc_p64_i1_m256_test.log,64,1,256,,143.271135
heatdis_veloc_p64_i2_m256_test.log,64,2,256,,143.184243
heatdis_veloc_p64_i3_m256_test.log,64,3,256,,142.992906
heatdis_veloc_p64_i4_m256_test.log,64,4,256,,143.118744
heatdis_veloc_p64_i5_m256_test.log,64,5,256,,143.380298
heatdis_veloc_p64_i6_m256_test.log,64,6,256,,143.240814
heatdis_veloc_p64_i7_m256_test.log,64,7,256,,143.245724
heatdis_veloc_p64_i8_m256_test.log,64,8,256,,143.065002
heatdis_veloc_p64_i9_m256_test.log,64,9,256,,143.219036
heatdis_veloc_p128_i0_m64_test.log,128,0,64,,58.447841
heatdis_veloc_p128_i1_m64_test.log,128,1,64,,58.375155
heatdis_veloc_p128_i2_m64_test.log,128,2,64,,58.82573
heatdis_veloc_p128_i3_m64_test.log,128,3,64,,58.19984
heatdis_veloc_p128_i4_m64_test.log,128,4,64,,58.314307
heatdis_veloc_p128_i5_m64_test.log,128,5,64,,58.544444
heatdis_veloc_p128_i6_m64_test.log,128,6,64,,58.544619
heatdis_veloc_p128_i7_m64_test.log,128,7,64,,58.411936
heatdis_veloc_p128_i8_m64_test.log,128,8,64,,58.909778
heatdis_veloc_p128_i9_m64_test.log,128,9,64,,58.586821
heatdis_veloc_p128_i0_m128_test.log,128,0,128,,114.310931
heatdis_veloc_p128_i1_m128_test.log,128,1,128,,114.416857
heatdis_veloc_p128_i2_m128_test.log,128,2,128,,115.243467
heatdis_veloc_p128_i3_m128_test.log,128,3,128,,113.35183
heatdis_veloc_p128_i4_m128_test.log,128,4,128,,114.204339
heatdis_veloc_p128_i5_m128_test.log,128,5,128,,113.987422
heatdis_veloc_p128_i6_m128_test.log,128,6,128,,113.511647
heatdis_veloc_p128_i7_m128_test.log,128,7,128,,114.68085
heatdis_veloc_p128_i8_m128_test.log,128,8,128,,114.541408
heatdis_veloc_p128_i9_m128_test.log,128,9,128,,114.254643
heatdis_veloc_p128_i0_m256_test.log,128,0,256,,224.283301
heatdis_veloc_p128_i1_m256_test.log,128,1,256,,223.833953
heatdis_veloc_p128_i2_m256_test.log,128,2,256,,224.677797
heatdis_veloc_p128_i3_m256_test.log,128,3,256,,223.986734
heatdis_veloc_p128_i4_m256_test.log,128,4,256,,224.981902
heatdis_veloc_p128_i5_m256_test.log,128,5,256,,242.065627
heatdis_veloc_p128_i6_m256_test.log,128,6,256,,225.263533
heatdis_veloc_p128_i7_m256_test.log,128,7,256,,225.380833
heatdis_veloc_p128_i8_m256_test.log,128,8,256,,225.046343
heatdis_veloc_p128_i9_m256_test.log,128,9,256,,224.711341
heatdis_veloc_p128_i0_m512_test.log,128,0,512,,443.387492
heatdis_veloc_p128_i1_m512_test.log,128,1,512,,444.455645
heatdis_veloc_p128_i2_m512_test.log,128,2,512,,446.800298
heatdis_veloc_p128_i3_m512_test.log,128,3,512,,444.804448
heatdis_veloc_p128_i4_m512_test.log,128,4,512,,445.101441
heatdis_veloc_p128_i5_m512_test.log,128,5,512,,444.797236
heatdis_veloc_p128_i6_m512_test.log,128,6,512,,444.297709
heatdis_veloc_p128_i7_m512_test.log,128,7,512,,447.183867
heatdis_veloc_p128_i8_m512_test.log,128,8,512,,445.486705
heatdis_veloc_p128_i9_m512_test.log,128,9,512,,445.11839
